10520GE 123600	 | 	Introduction to World Music	 | 	2	 | 	R5R6	 | 	EDU 311	 | 	Optional	 | 	GE_humanities	 | 	GeneralArt
10510LST 350301	 | 	Introductory Study of Law	 | 	3	 | 	T7T8T9	 | 	MXIC245	 | 	Optional	 | 	GE_socialSciences	 | 	LawPolitics
10510LST 350302	 | 	Introductory Study of Law	 | 	3	 | 	M7M8M9	 | 	TSMC224	 | 	Optional	 | 	GE_socialSciences	 | 	LawPolitics
10520HSS 201100	 | 	Issues in Cultural History of Scientific and Tech	 | 	3	 | 	W7W8W9	 | 	HSSA202	 | 	Optional	 | 	GE_naturalSciences	 | 	SciTechSociety
10510HSS 371400	 | 	Justice: Investigating the Possibility of Equal Rights	 | 	3	 | 	F3F4Fn	 | 	HSSD203	 | 	Optional	 | 	GE_socialSciences	 | 	SPAEGS
10520HSS 371400	 | 	Justice: Investigating the Possibility of Equal Rights	 | 	3	 | 	T3T4Tn	 | 	HSSD203	 | 	Optional	 | 	GE_socialSciences	 | 	SPAEGS
10520GEC 110600	 | 	Knowledge and Reality	 | 	3	 | 	T3T4Tn	 | 	EDU 309	 | 	Optional	 | 	GE_core1	 | 	 - 
10520HSS 331500	 | 	Language, Meaning and Logic	 | 	3	 | 	R7R8R9	 | 	HSSC507	 | 	Optional	 | 	GE_humanities	 | 	PhilosReligious
10510HSS 330100	 | 	Languages of the World	 | 	3	 | 	R7R8R9	 | 	HSSC205	 | 	Optional	 | 	GE_humanities	 | 	HumaneHistorical
10510LST 350100	 | 	Law and Technology	 | 	2	 | 	R3R4	 | 	MXIC253	 | 	Optional	 | 	GE_socialSciences	 | 	LawPolitics
10520GE 149300	 | 	Learning the Rules of Taiwan's Copyright Law	 | 	2	 | 	R5R6	 | 	EDU 309	 | 	Optional	 | 	GE_socialSciences	 | 	LawPolitics
10520IPTH101000	 | 	Life as a Maker and Reflections on Craft	 | 	3	 | 	F3F4Fn	 | 	D-Shi	 | 	Optional	 | 	GE_naturalSciences	 | 	SciTechSociety
10510GE 190400	 | 	Life Education:death and life	 | 	2	 | 	WaWb	 | 	EDU 316	 | 	Optional	 | 	GE_socialSciences	 | 	SPAEGS
10510HSS 311300	 | 	Literati Life in Late Imperial China	 | 	3	 | 	T3T4Tn	 | 	HSSD203	 | 	Optional	 | 	GE_humanities	 | 	HumaneHistorical
10520HSS 190000	 | 	Literature and Creation Introductory	 | 	3	 | 	W3W4Wn	 | 	HSSC404	 | 	Optional	 | 	GE_humanities	 | 	HumaneHistorical
10510HSS 220000	 | 	Logic	 | 	3	 | 	W3W4Wn	 | 	HSSC411	 | 	Optional	 | 	GE_humanities	 | 	PhilosReligious
10510TM 200201	 | 	Management	 | 	3	 | 	T7T8T9	 | 	TSMC103	 | 	Optional	 | 	GE_socialSciences	 | 	MIE
10510TM 200202	 | 	Management	 | 	3	 | 	W7W8W9	 | 	TSMC309	 | 	Optional	 | 	GE_socialSciences	 | 	MIE
10510TM 200203	 | 	Management	 | 	3	 | 	R7R8R9	 | 	TSMC908	 | 	Optional	 | 	GE_socialSciences	 | 	MIE
10520TM 200202	 | 	Management	 | 	3	 | 	W7W8W9	 | 	TSMC309	 | 	Optional	 | 	GE_socialSciences	 | 	MIE
